family,metric,subgroup,comparison,n_blocks,median_delta_NN_minus_other,mean_delta_NN_minus_other,NN_better_rate,other_better_rate,p_value,p_holm,significant_holm_0.05,p_label_holm
deep_m4_official,smape,model=DLinear,NN_vs_NR,6,-0.011642000000000152,-0.2115524999999998,0.5,0.0,0.25,0.5,False,ns
deep_m4_official,smape,model=DLinear,NN_vs_RN,6,-59.2618825,-60.319851,1.0,0.0,0.03125,0.1875,False,ns
deep_m4_official,smape,model=DLinear,NN_vs_RR,6,-59.2618825,-60.319851,1.0,0.0,0.03125,0.1875,False,ns
deep_m4_official,smape,model=GRU,NN_vs_NR,6,-0.03994949999999964,-0.04628783333333342,0.5,0.0,0.25,0.5,False,ns
deep_m4_official,smape,model=GRU,NN_vs_RN,6,-59.40041,-56.5343645,1.0,0.0,0.03125,0.1875,False,ns
deep_m4_official,smape,model=GRU,NN_vs_RR,6,-59.4048115,-56.53583166666667,1.0,0.0,0.03125,0.1875,False,ns
deep_m4_official,smape,model=PatchTST,NN_vs_NR,6,0.0,-1.801678,0.3333333333333333,0.0,0.5,1.0,False,ns
deep_m4_official,smape,model=PatchTST,NN_vs_RN,6,-59.8929485,-57.21812500000001,1.0,0.0,0.03125,0.1875,False,ns
deep_m4_official,smape,model=PatchTST,NN_vs_RR,6,-59.8929485,-57.201288999999996,1.0,0.0,0.03125,0.1875,False,ns
deep_m4_official,smape,model=TimeFilter,NN_vs_NR,6,0.0,-0.0007196666666666,0.16666666666666666,0.0,1.0,1.0,False,ns
deep_m4_official,smape,model=TimeFilter,NN_vs_RN,6,-58.73745,-56.25453166666667,1.0,0.0,0.03125,0.1875,False,ns
deep_m4_official,smape,model=TimeFilter,NN_vs_RR,6,-58.73745,-56.25461733333333,1.0,0.0,0.03125,0.1875,False,ns
deep_m4_official,smape,model=TimeMixer,NN_vs_NR,6,-0.03008650000000035,-0.3481014999999999,0.8333333333333334,0.0,0.0625,0.1875,False,ns
deep_m4_official,smape,model=TimeMixer,NN_vs_RN,6,-59.22832150000001,-58.867018333333334,1.0,0.0,0.03125,0.1875,False,ns
deep_m4_official,smape,model=TimeMixer,NN_vs_RR,6,-59.22832150000001,-58.8670185,1.0,0.0,0.03125,0.1875,False,ns
deep_m4_official,smape,model=TimesNet,NN_vs_NR,6,-4.999999987376214e-07,-2.233333333260627e-05,0.5,0.16666666666666666,0.625,1.0,False,ns
deep_m4_official,smape,model=TimesNet,NN_vs_RN,6,-58.941017,-54.86079766666666,1.0,0.0,0.03125,0.1875,False,ns
deep_m4_official,smape,model=TimesNet,NN_vs_RR,6,-58.9423295,-54.8612345,1.0,0.0,0.03125,0.1875,False,ns
