block_definition,metric,subgroup,family,case_a,case_b,n_blocks,wilcoxon_statistic,p_value,median_delta_a_minus_b,mean_delta_a_minus_b,a_better_rate,b_better_rate,p_holm,significant_holm_0.05,p_label_holm
model+dataset+seq_len+pred_len,mse,ALL,shallow_ltsf,NR,RR,80,1444.0,0.39858752050420854,0.00016170879457261256,0.03471711586283962,0.45,0.55,1.0,False,ns
model+dataset+seq_len+pred_len,mse,ALL,shallow_ltsf,RN,RR,80,1435.0,0.3749103381681347,0.0011026736994143999,-0.011908528519788547,0.4375,0.5625,1.0,False,ns
model+dataset+seq_len+pred_len,mse,model=KNN,shallow_ltsf,NN,NR,16,28.0,0.03863525390625,-0.009892590724537048,-0.02807398119553516,0.75,0.25,0.2318115234375,False,ns
model+dataset+seq_len+pred_len,mse,model=KNN,shallow_ltsf,NN,RN,16,49.0,0.348388671875,-0.00680424926209755,0.02593589608664569,0.6875,0.3125,1.0,False,ns
model+dataset+seq_len+pred_len,mse,model=KNN,shallow_ltsf,NN,RR,16,62.0,0.781951904296875,0.0044814803449400725,0.00983306369242092,0.3125,0.6875,1.0,False,ns
model+dataset+seq_len+pred_len,mse,model=KNN,shallow_ltsf,NR,RN,16,53.0,0.4637451171875,0.0017122966806794593,0.054009877282180846,0.5,0.5,1.0,False,ns
model+dataset+seq_len+pred_len,mse,model=KNN,shallow_ltsf,NR,RR,16,51.0,0.40374755859375,0.013716673944012936,0.03790704488795608,0.25,0.75,1.0,False,ns
model+dataset+seq_len+pred_len,mse,model=KNN,shallow_ltsf,RN,RR,16,64.0,0.860260009765625,0.003121547164900096,-0.01610283239422477,0.5,0.5,1.0,False,ns
model+dataset+seq_len+pred_len,mse,model=OLS,shallow_ltsf,NN,NR,16,36.0,0.104583740234375,0.008005478293455881,-0.011620211847538527,0.25,0.75,0.522918701171875,False,ns
model+dataset+seq_len+pred_len,mse,model=OLS,shallow_ltsf,NN,RN,16,57.0,0.596588134765625,3.9408315454916854e-05,-0.005418125737638892,0.5,0.5,0.8074951171875,False,ns
model+dataset+seq_len+pred_len,mse,model=OLS,shallow_ltsf,NN,RR,16,51.0,0.40374755859375,0.00580657813122637,-0.020192780642170123,0.3125,0.6875,0.8074951171875,False,ns
model+dataset+seq_len+pred_len,mse,model=OLS,shallow_ltsf,NR,RN,16,33.0,0.07391357421875,-0.007770187203019974,0.0062020861098996335,0.8125,0.1875,0.4434814453125,False,ns
model+dataset+seq_len+pred_len,mse,model=OLS,shallow_ltsf,NR,RR,16,43.0,0.21142578125,-0.00019974446170578641,-0.008572568794631601,0.625,0.375,0.63427734375,False,ns
model+dataset+seq_len+pred_len,mse,model=OLS,shallow_ltsf,RN,RR,16,37.0,0.116668701171875,0.00753458210969081,-0.014774654904531236,0.25,0.75,0.522918701171875,False,ns
model+dataset+seq_len+pred_len,mse,model=RevIN-OLS,shallow_ltsf,NN,NR,32,207.0,0.2950702649541199,0.001321976287024712,-0.017783185254757687,0.4375,0.5625,0.7603777516633272,False,ns
model+dataset+seq_len+pred_len,mse,model=RevIN-OLS,shallow_ltsf,NN,RN,32,150.0,0.03248823946341872,0.002844962873959765,0.06270520330317605,0.28125,0.71875,0.19492943678051233,False,ns
model+dataset+seq_len+pred_len,mse,model=RevIN-OLS,shallow_ltsf,NN,RR,32,170.0,0.08032503305003047,0.004935066143099909,0.0585745495947827,0.34375,0.65625,0.40162516525015235,False,ns
