source,model,dataset,case,lr,seq_len,pred_len,smape,mase,owa,result_dir
deep_m4,TimesNet,M4_Hourly,RN,lr0p0001,,,42.023976,16.212008,4.527516,analysis_input/m4_official_eval_extracted/m4_results/TimesNet_RN_lr0p0001
deep_m4,TimesNet,M4_Yearly,RR,lr0p0001,,,102.265303,20.36347,5.690732,analysis_input/m4_official_eval_extracted/m4_results/TimesNet_RR_lr0p0001
deep_m4,TimesNet,M4_Quarterly,RR,lr0p0001,,,81.068435,11.053848,7.711242,analysis_input/m4_official_eval_extracted/m4_results/TimesNet_RR_lr0p0001
deep_m4,TimesNet,M4_Monthly,RR,lr0p0001,,,62.973816,7.319408,5.624168,analysis_input/m4_official_eval_extracted/m4_results/TimesNet_RR_lr0p0001
deep_m4,TimesNet,M4_Weekly,RR,lr0p0001,,,80.748389,77.157392,18.297789,analysis_input/m4_official_eval_extracted/m4_results/TimesNet_RR_lr0p0001
deep_m4,TimesNet,M4_Daily,RR,lr0p0001,,,53.013976,56.912818,17.384271,analysis_input/m4_official_eval_extracted/m4_results/TimesNet_RR_lr0p0001
deep_m4,TimesNet,M4_Hourly,RR,lr0p0001,,,42.023976,16.212008,4.527516,analysis_input/m4_official_eval_extracted/m4_results/TimesNet_RR_lr0p0001
deep_m4,iTransformer,M4_Yearly,NN,lr0p0001,,,14.003329,3.117963,0.820701,analysis_input/m4_official_eval_extracted/m4_results/iTransformer_NN_lr0p0001
deep_m4,iTransformer,M4_Quarterly,NN,lr0p0001,,,10.781884,1.288631,0.9594,analysis_input/m4_official_eval_extracted/m4_results/iTransformer_NN_lr0p0001
deep_m4,iTransformer,M4_Monthly,NN,lr0p0001,,,13.598123,1.035437,0.958149,analysis_input/m4_official_eval_extracted/m4_results/iTransformer_NN_lr0p0001
deep_m4,iTransformer,M4_Weekly,NN,lr0p0001,,,12.06213,4.668492,1.498795,analysis_input/m4_official_eval_extracted/m4_results/iTransformer_NN_lr0p0001
deep_m4,iTransformer,M4_Daily,NN,lr0p0001,,,3.754782,4.118888,1.244679,analysis_input/m4_official_eval_extracted/m4_results/iTransformer_NN_lr0p0001
deep_m4,iTransformer,M4_Hourly,NN,lr0p0001,,,34.164465,10.322887,3.084302,analysis_input/m4_official_eval_extracted/m4_results/iTransformer_NN_lr0p0001
deep_m4,iTransformer,M4_Yearly,NR,lr0p0001,,,14.337922,3.196842,0.840862,analysis_input/m4_official_eval_extracted/m4_results/iTransformer_NR_lr0p0001
deep_m4,iTransformer,M4_Quarterly,NR,lr0p0001,,,10.785664,1.289764,0.959984,analysis_input/m4_official_eval_extracted/m4_results/iTransformer_NR_lr0p0001
deep_m4,iTransformer,M4_Monthly,NR,lr0p0001,,,13.622669,1.039261,0.960799,analysis_input/m4_official_eval_extracted/m4_results/iTransformer_NR_lr0p0001
deep_m4,iTransformer,M4_Weekly,NR,lr0p0001,,,12.06213,4.668492,1.498795,analysis_input/m4_official_eval_extracted/m4_results/iTransformer_NR_lr0p0001
deep_m4,iTransformer,M4_Daily,NR,lr0p0001,,,3.754782,4.118888,1.244679,analysis_input/m4_official_eval_extracted/m4_results/iTransformer_NR_lr0p0001
deep_m4,iTransformer,M4_Hourly,NR,lr0p0001,,,34.316941,10.40008,3.104565,analysis_input/m4_official_eval_extracted/m4_results/iTransformer_NR_lr0p0001
deep_m4,iTransformer,M4_Yearly,RN,lr0p0001,,,110.221531,21.400196,6.064585,analysis_input/m4_official_eval_extracted/m4_results/iTransformer_RN_lr0p0001
deep_m4,iTransformer,M4_Quarterly,RN,lr0p0001,,,82.979129,11.251414,7.870032,analysis_input/m4_official_eval_extracted/m4_results/iTransformer_RN_lr0p0001
deep_m4,iTransformer,M4_Monthly,RN,lr0p0001,,,63.2077,7.321876,5.633434,analysis_input/m4_official_eval_extracted/m4_results/iTransformer_RN_lr0p0001
deep_m4,iTransformer,M4_Weekly,RN,lr0p0001,,,81.135122,77.259483,18.337275,analysis_input/m4_official_eval_extracted/m4_results/iTransformer_RN_lr0p0001
deep_m4,iTransformer,M4_Daily,RN,lr0p0001,,,53.049885,56.934749,17.393512,analysis_input/m4_official_eval_extracted/m4_results/iTransformer_RN_lr0p0001
deep_m4,iTransformer,M4_Hourly,RN,lr0p0001,,,40.817097,15.464881,4.338716,analysis_input/m4_official_eval_extracted/m4_results/iTransformer_RN_lr0p0001
