dataset,condition,base_start,mse
ETTm1,target_history,46775,0.08187756943765688
ETTm1,target_history,46778,0.08181285708549574
ETTm1,target_history,46781,0.07539026591951346
ETTm1,target_history,46783,0.06749588119373343
ETTm1,target_history,46786,0.047470243210327036
ETTm1,target_history,46789,0.04482770121489368
ETTm1,target_history,46792,0.03921620463462588
ETTm1,target_history,46795,0.027450923405146672
ETTm1,target_history,46798,0.03389486375324611
ETTm1,target_history,46801,0.03317836813392632
ETTm1,target_history,46803,0.02541343490140152
ETTm1,target_history,46806,0.03084549192653005
ETTm1,target_history,46809,0.04264674281239753
ETTm1,target_history,46812,0.033447749460263916
ETTm1,target_history,46815,0.03909964391370921
ETTm1,target_history,46818,0.05105846465746847
ETTm1,target_history,46821,0.03739573218653386
ETTm1,target_history,46823,0.023812679744494077
ETTm1,target_history,46826,0.01364365803706355
ETTm1,target_history,46829,0.011147653313683089
ETTm1,target_history,46832,0.012589130600768224
ETTm1,target_history,46835,0.014659290059595003
ETTm1,target_history,46838,0.015284628445867232
ETTm1,target_history,46841,0.013003894143329484
ETTm1,target_history,46843,0.01289751014436006
ETTm1,target_history,46846,0.01027075689634726
ETTm1,target_history,46849,0.006049373629083564
ETTm1,target_history,46852,0.004843915729487783
ETTm1,target_history,46855,0.005541552254908791
ETTm1,target_history,46858,0.005678195889664804
ETTm1,target_history,46861,0.0068750828374065645
ETTm1,target_history,46863,0.006081303546676406
ETTm1,target_history,46866,0.006682841661837405
ETTm1,target_history,46869,0.00636129044936611
ETTm1,target_history,46872,0.006086673852864888
ETTm1,target_history,46875,0.007562670036187487
ETTm1,target_history,46878,0.010792259300628987
ETTm1,target_history,46881,0.012159463912104254
ETTm1,target_history,46883,0.01179899368742557
ETTm1,target_history,46886,0.0122916904988781
ETTm1,target_history,46889,0.018637012787663457
ETTm1,target_history,46892,0.006605486547527917
ETTm1,target_history,46895,0.005132809859251879
ETTm1,target_history,46898,0.009476499184829281
ETTm1,target_history,46901,0.007049222434003362
ETTm1,target_history,46903,0.010006818835633957
ETTm1,target_history,46906,0.01314026781636845
ETTm1,target_history,46909,0.012429638757673543
ETTm1,target_history,46912,0.017979795588379963
ETTm1,target_history,46915,0.01627644461139233
ETTm1,target_history,46918,0.015124348291075833
ETTm1,target_history,46921,0.017700821046269032
ETTm1,target_history,46923,0.021900941958060176
ETTm1,target_history,46926,0.025754232804501218
ETTm1,target_history,46929,0.03437342888512383
ETTm1,target_history,46932,0.04016210678834935
ETTm1,target_history,46935,0.045720169347918886
ETTm1,target_history,46938,0.050508835987941765
ETTm1,target_history,46940,0.059802587298782815
ETTm1,target_history,46943,0.06496603073577775
ETTm1,target_history,46946,0.07510758252548856
ETTm1,target_history,46949,0.08017181552967395
ETTm1,target_history,46952,0.0864329853694981
ETTm1,target_history,46955,0.09481434221447353
ETTm1,target_history,46958,0.11443237640915815
ETTm1,target_history,46960,0.11622164743816717
ETTm1,target_history,46963,0.0949712878417457
ETTm1,target_history,46966,0.11273033552281823
ETTm1,target_history,46969,0.1153268517560649
ETTm1,target_history,46972,0.1325954698808677
ETTm1,target_history,46975,0.14851398351420445
