dataset,seed,condition,base_alpha,residual_alpha,mse,residual_mse,none_mse,event_mse,separation_mse,n_test_pairs
ETTh1,1,misleading_test,100.0,,0.41503600596680584,0.35515921909593695,0.06086258430268192,0.7692094276309295,0.7103184496950982,2785
ETTh1,1,latent_oracle_upper_bound,100.0,,0.060862648089844436,0.0,0.06086264808984446,0.06086264808984446,0.0,2785
ETTh1,2,history,100.0,0.1,0.21607128089868166,0.15324435096021471,0.061117053418582576,0.3710255083787808,0.3064760945500252,2785
ETTh1,2,clean,100.0,0.1,0.14448952968228346,0.08286113414002408,0.06086264680236878,0.22811641256219825,0.16572226830201706,2785
ETTh1,2,noisy,100.0,100.0,0.17327027810013967,0.11187818441503256,0.060859254376133494,0.28568130182414586,0.2237563671002576,2785
ETTh1,2,delayed50,100.0,0.1,0.18586240613166097,0.1224966459398907,0.06086264939100101,0.31086216287232116,0.24499329174294232,2785
ETTh1,2,shuffled,100.0,100.0,0.21615038226054936,0.15329714661626928,0.06123061802186309,0.3710701464992355,0.3066897770626541,2785
ETTh1,2,misleading_test,100.0,,0.43236664069561115,0.3685849966084666,0.06086264680236878,0.8038706345888535,0.7371699933067943,2785
ETTh1,2,latent_oracle_upper_bound,100.0,,0.060862648089844436,0.0,0.06086264808984446,0.06086264808984447,0.0,2785
ETTh1,3,history,100.0,0.1,0.21346620422454682,0.15302507578669308,0.061447951382004394,0.3654844570670893,0.3060635351644701,2785
ETTh1,3,clean,100.0,100.0,0.1453966171170665,0.08472960951535208,0.06086469256944357,0.22992854166468937,0.16945900707171263,2785
ETTh1,3,noisy,100.0,100.0,0.17226429146052938,0.11121480750760751,0.06086527742821213,0.2836633054928466,0.2224295289993202,2785
ETTh1,3,delayed50,100.0,100.0,0.18009801788094046,0.11947261340853421,0.06086878167243393,0.29932725408944705,0.23894478178025616,2785
ETTh1,3,shuffled,100.0,100.0,0.2134682689459154,0.15306955353175297,0.06151667079123964,0.3654198671005911,0.30637457629425735,2785
ETTh1,3,misleading_test,100.0,,0.41879582968830925,0.3595575530198409,0.06086469256944357,0.7767269668071748,0.7191153888243745,2785
ETTh1,3,latent_oracle_upper_bound,100.0,,0.060862648089844436,0.0,0.06086264808984446,0.06086264808984446,0.0,2785
ETTh1,4,history,100.0,0.1,0.21728325460089987,0.1549015670732018,0.06108527302587065,0.37348123617592915,0.3097910929009442,2785
ETTh1,4,clean,100.0,100.0,0.14648358898102715,0.0861706813361995,0.060860706865449546,0.23210647109660465,0.1723412050710662,2785
ETTh1,4,noisy,100.0,100.0,0.17314967772428358,0.11227777007097224,0.06085897562271741,0.2854403798258497,0.22455546207138116,2785
ETTh1,4,delayed50,100.0,10.0,0.18190150425711957,0.12122093372179284,0.060862251291073435,0.30294075722316566,0.2424418197931136,2785
ETTh1,4,shuffled,100.0,100.0,0.21746471655511634,0.15502411001879024,0.06127545009065631,0.3736539830195763,0.3100073435011022,2785
ETTh1,4,misleading_test,100.0,,0.42461072553358126,0.36019837469002003,0.060860706865449546,0.7883607442017129,0.7203970387618305,2785
ETTh1,4,latent_oracle_upper_bound,100.0,,0.060862648089844436,0.0,0.06086264808984446,0.06086264808984446,0.0,2785
ETTh1,5,history,100.0,0.1,0.20757781383875767,0.15136882120925196,0.0607157544084125,0.35443987326910276,0.3027109340599219,2785
ETTh1,5,clean,100.0,100.0,0.14228680240452923,0.08377093222952059,0.06086164678268679,0.22371195802637156,0.16754181949889813,2785
ETTh1,5,noisy,100.0,100.0,0.16415733253798176,0.1067191004042964,0.060862826647723314,0.26745183842824016,0.21343821410595248,2785
ETTh1,5,delayed50,100.0,10.0,0.17648246788440228,0.11871251642943952,0.06086234733737545,0.2921025884314292,0.23742499351059732,2785
