source,model,case,lr_tag,group,series_count,smape,mase,owa,naive_smape,naive_mase,forecast_dir
shallow,ols,NN,,Yearly,23000,16.084575,4.217578,1.022717,16.342173,3.97436,results/long_input/m4_ols_results.csv
shallow,ols,NN,,Quarterly,24000,12.323983,1.716262,1.027698,12.521367,1.602247,results/long_input/m4_ols_results.csv
shallow,ols,NN,,Monthly,48000,15.284199,1.234773,0.968081,15.988282,1.259717,results/long_input/m4_ols_results.csv
shallow,ols,NN,,Others,5000,4.946056,3.305896,1.102538,4.384172,3.069787,results/long_input/m4_ols_results.csv
shallow,ols,NN,,Average,100000,14.240927,2.139932,1.006003,14.657412,2.056796,results/long_input/m4_ols_results.csv
shallow,ols,NR,,Yearly,23000,96.563892,3.866748,2.390794,29.936716,2.485078,results/long_input/m4_ols_results.csv
shallow,ols,NR,,Quarterly,24000,24.448262,2.645338,1.346489,19.11786,1.870607,results/long_input/m4_ols_results.csv
shallow,ols,NR,,Monthly,48000,41.919684,2.12255,1.016328,42.877813,2.011891,results/long_input/m4_ols_results.csv
shallow,ols,NR,,Others,5000,55.774821,3.460026,6.824168,4.490971,2.815291,results/long_input/m4_ols_results.csv
shallow,ols,NR,,Average,100000,50.987467,2.716058,1.428254,32.27963,2.126986,results/long_input/m4_ols_results.csv
shallow,ols,RN,,Yearly,23000,17.332554,4.338072,1.076059,16.342173,3.97436,results/long_input/m4_ols_results.csv
